"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45"
"1" 6.01615453567443 5.91533503186343 6.00978097022989 5.95580827012856 5.96611228855985 6.03171359625982 5.95457340343569 6.11195339636304 6.10561722299548 6.00306805230373 6.3306711396051 6.24567612804919 5.91139154827037 6.21943178483631 6.06326161790431 6.10404240869502 5.68099317927145 5.91472273790239 5.98705571145524 6.11177356592879 6.11034246551383 6.21169196040721 6.09011994038582 6.22811226102082 6.05549758261995 6.04369752111189 6.06786687006142 6.18006352290391 5.94110907529343 5.92336927222347 6.17595710007176 5.79599946822768 5.99547224986984 6.02973942800388 6.23714120094699 6.04890351407053 6.21882443117269 5.98108122820671 5.92322364148738 6.00431617444163 5.96440819737956 5.96375687271229 6.04324084567209 6.11477486010129 5.91755249212673
"2" 7.93848362530002 6.91358693444007 6.18014763344035 6.89218364966063 6.22045852259745 6.27550100096205 6.7881994461565 7.03210947517969 6.44798445129048 6.61797758166116 6.82616459819263 6.35925811973118 6.49560996634138 6.62213348946719 6.91650714599065 6.10043261520981 6.5542019703347 6.99374903685258 6.6810683059639 7.27657280191092 6.79471091032668 7.4208088755724 6.87187860161806 6.75347307601098 6.76019832071002 6.64490066318703 6.40701102364139 6.06335777899488 6.30903029215457 6.88455147817852 6.76303906665878 7.93155710039049 6.88104734089526 6.43051075424365 6.80361967826873 6.43885501476314 6.61837871447615 6.56134099648112 6.77606520326313 6.66596083123409 6.88999496231622 6.30516449838226 6.65068086033393 6.55842528895462 6.98571658562022
"3" 5.87333919850152 5.92858093218867 6.03715955953889 6.00332480872231 6.03203211771641 5.90316468680471 5.95539463419997 5.8112449895751 5.8239946568393 6.0186365506119 6.03005303152277 5.84849295607381 5.90980293567368 5.81681492839934 5.87709891580605 5.883409693168 5.76106119586102 5.92894433297514 6.08859202490045 6.02746960706607 5.87286627513193 5.73016801764506 5.86148425741834 5.89787852033683 6.0189293092947 5.93484780911321 5.91862527298117 6.09093585901327 5.99525982164952 5.92033195755891 6.00840180931211 5.73418505502942 5.89542228690644 5.73433120235351 5.96065362985668 5.92595984067635 5.73871466709248 5.80647430175684 5.82225461857472 5.84744514403541 6.14943730651032 5.84015496593613 5.87424210433918 5.77030193841786 5.95420455997127
"4" 5.90570514114047 6.02638871166276 5.93533007654923 5.90875211340281 6.09739598141446 5.94113069847289 5.78141097550212 5.88246305174392 6.17612497983923 6.05640169279828 5.98465032664022 5.88026949414311 5.75243526273611 6.05178502889461 5.99093629371609 5.7564782187136 5.92658371578538 5.73662965298354 5.79339914555418 5.86804585846585 5.66249993453735 5.96552742736727 5.90823046135808 5.86028536194522 5.86330872232095 5.84196668477355 5.87023227579175 5.73281279722901 6.04379800682244 5.70867011084024 6.06465611207338 5.80800436013358 5.79693224628607 5.94762722467014 6.00736263017548 5.80253459631002 5.99212789231166 5.92895268511836 6.08266662157823 5.90409099898389 6.15277044304627 5.94412490799667 5.89520074466233 5.8207699688168 6.0430952539078
"5" 9.35468179759907 9.19537066139211 8.95507063746201 8.90430526866348 9.29411687796361 9.02981594343454 9.60507086119008 9.7613216299723 9.26791917939552 9.14434797587159 9.36870011154774 9.46823460516992 8.98981683258086 9.15344132328885 9.20027840434109 9.02053334803442 9.27992692664094 9.33547645784633 9.65760422325569 9.26395109389512 9.18581216463111 9.82484583371658 9.19834681703864 9.17969327742552 9.10408362189574 8.84575784509303 9.25861318303389 9.18319681427288 8.90280024039178 8.95261350646001 8.81060331270022 9.40261969272753 9.05477569173384 9.67921047811675 9.06947442141628 8.69477037663858 9.20709279157629 9.34175337892582 9.51871261642711 8.75977994689846 8.90765408495474 9.65157544099877 8.90857651982047 9.56406518924153 9.67273765976705
"6" 6.29786134098951 6.20695652489436 6.19834933334063 6.31899597280295 6.35327613049993 6.44728591956856 6.26231214657028 5.9493720076854 6.13037218498085 6.27774816267342 6.20743886239485 6.17864516711045 6.32309888096882 6.37938271189065 6.36826803739269 6.31808611662888 6.19863520818263 6.38959178768043 6.29223544210609 6.21588499935908 6.46428091997556 6.39967101535971 6.31025058076325 6.31375865764285 6.3056762244701 6.22915375820446 6.58789940215626 6.32612154685614 6.28643330900881 6.24064855302026 6.2007350445568 6.2882014265694 6.33081691984824 6.18653604804891 6.17952438812683 6.48776399128664 6.37690230944231 6.5366059209055 6.04603113594373 6.25392289748106 6.32104608478824 6.2536880142697 6.4662845640508 6.27677859361485 6.35459333446609
"7" 6.10609413607438 6.07133511530109 6.45825556477921 6.20052151895823 5.95107692142367 6.19688825060808 6.12612839961586 5.88206374628273 6.02992374354945 5.97721251102769 6.03248629249555 5.93595653743974 6.17476881313099 6.44496153018127 6.25942223069767 5.99041326829047 6.23328521239298 5.99328008281813 5.99467512402886 6.03146575757544 6.16803198952339 5.82414839031618 6.00827763574811 6.16741834736809 6.09126159589714 5.9495827177317 6.05855392531985 6.0330010691639 5.97713879042167 5.89584972371479 5.99430487377397 5.98362166266702 6.11368720074253 5.87611083298387 6.18246506704862 6.1323398538856 6.0163040498103 5.89136130368977 5.84807259658621 5.9254494714353 6.10726920180249 5.92404256730669 6.07274771728775 6.04091907303382 5.96454346240146
"8" 6.0567257360168 6.00683990962755 5.9257310994062 5.95413062995676 6.16094054847281 6.22508498860725 6.18370167641092 6.08386920509022 5.9549898080163 5.99576599277799 5.99354261709405 6.10439433827737 6.01002429445764 5.91957424328248 5.99013549172524 5.84438136121872 6.11102382282974 5.97606502455822 6.02939175494038 6.1219600803775 6.10964869999611 6.19187241958383 6.148213958367 6.07161275533884 6.04581416093601 6.03428349590953 6.09646435791818 5.91536489275493 6.10835088627387 6.14416054274041 5.91367433142306 6.01378769803016 6.0534235751253 5.96059191787854 6.15392216309997 6.26475643236373 5.93577959756383 6.10008535474349 6.05035614898205 6.28100123271723 6.07899447834065 5.93523992705423 6.22029081527726 6.03517554242044 6.06900564358604
"9" 6.47234123969077 6.48534917469565 6.60134704223397 6.27455725066261 6.45962204784836 6.82425264587841 6.6189034742963 6.72255302892543 6.45748242231639 6.54372615920894 6.27682527607711 6.4985718889218 6.66293649637966 6.30593442892144 6.37576876415426 6.41065554102025 6.50913429560432 6.52143472246559 6.5725332456321 6.37057148888704 6.37310638745731 6.85035170653718 6.68232118168444 6.39719075749237 6.5335252654179 6.5361512365816 6.65589762467397 6.51339075671563 6.44841141732903 6.58222394484121 6.53516971966274 6.64198366540804 6.12004941875293 6.83761531622663 6.36701160033355 6.3896238294116 6.66211385085984 6.34511812374829 6.60779549613245 6.50769543946725 6.34350453027731 6.73081086544066 6.71742599484543 6.7156288036093 6.68885953025975
"10" 6.16478586698338 6.07936140255435 5.89015187514182 5.91961330171214 5.93108396760077 6.04947063193228 5.90215695032099 5.92331255258424 5.95515090411145 5.91025995536832 5.94385124098877 5.76429845184878 5.81865704175894 5.8953115743863 5.74957231931939 6.02184194235221 5.953234734237 5.90488603087075 6.02709917149466 5.54257101586989 5.96852015164992 5.99989884501303 5.94745445061859 5.8677069448957 5.96785688807785 5.94035442349884 6.00430087063326 6.03751230601633 5.9830435601501 5.85630079988239 5.8667671297157 5.9037316101115 6.11388075415651 6.05476046398369 5.87829742047244 5.89936989437323 5.93933536421416 6.00487082828591 5.94334387102024 5.92239028336674 5.90889861934461 5.8086692813609 5.8585075936683 5.91134036461664 5.90966184443705
