1001	0.575
1091	0.3774
1181	0.7815
1271	0.6287
1361	0.4567
1451	0.3436
1541	0.3618
1631	1.307
1721	0.01555
1811	0.5385
1901	0.8174
1991	0.7082
2081	0.4487
2171	1.532
2261	0.1507
2351	1.521
2441	0.5009
2531	0.7126
2621	0.6352
2711	0.5372
2801	0.536
2891	0.5739
2981	0.6498
3071	0.8542
3161	0.2216
3251	1.136
3341	1.149
3431	0.1131
3521	0.673
3611	0.5539
3701	1.145
3791	0.5782
3881	0.9341
3971	1.16
4061	0.2108
4151	0.8142
4241	0.8159
4331	0.8672
4421	0.8447
4511	1.01
4601	0.9383
4691	0.89
4781	0.5529
4871	1.245
4961	0.7021
5051	1.154
5141	0.4655
5231	1.301
5321	1.306
5411	0.3249
5501	0.04711
5591	0.8056
5681	0.3257
5771	0.6115
5861	0.9947
5951	0.6848
6041	0.3006
6131	0.7667
6221	0.9796
6311	0.8103
6401	0.5601
6491	1.063
6581	0.8399
6671	0.2564
6761	0.5738
6851	0.58
6941	0.9435
7031	1.09
7121	1.11
7211	0.5852
7301	0.9409
7391	0.9235
7481	0.8714
7571	0.6304
7661	0.6684
7751	1.104
7841	0.8962
7931	0.4843
8021	0.2712
8111	0.06904
8201	1.099
8291	0.6098
8381	0.6544
8471	0.3896
8561	0.9545
8651	0.4088
8741	1.095
8831	0.06538
8921	0.3224
9011	0.4206
9101	0.9779
9191	1.58
9281	0.3528
9371	0.4857
9461	1.106
9551	1.006
9641	1.546
9731	1.195
9821	0.4807
9911	0.3465
10001	0.07544
10091	0.8541
10181	1.198
10271	0.2072
10361	0.684
10451	0.3015
10541	0.8771
10631	1.008
10721	0.6027
10811	1.622
10901	0.4888
10991	0.4273
11081	0.9025
11171	0.8817
11261	0.3145
11351	0.9589
11441	0.7158
11531	0.2432
11621	0.06259
11711	1.004
11801	0.6897
11891	1.281
11981	0.4623
12071	1.337
12161	1.077
12251	0.5295
12341	1.041
12431	0.7423
12521	0.9609
12611	0.831
12701	0.01608
12791	1.254
12881	0.04404
12971	0.4455
13061	0.1401
13151	0.4618
13241	1.378
13331	0.6115
13421	1.171
13511	0.7546
13601	0.4289
13691	0.7017
13781	0.5133
13871	0.3965
13961	0.2435
14051	0.4667
14141	0.9843
14231	0.4929
14321	0.917
14411	0.1089
14501	0.899
14591	0.5856
14681	0.448
14771	0.4169
14861	0.6084
14951	0.4933
15041	0.2483
