"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60"
"1" 5.9948097218965 6.00193531590131 6.17154875659168 6.22419489872951 6.32717811266071 5.78917068147764 5.9773919456861 6.10590586637915 6.07302432665166 6.08580238266383 5.7802592997583 6.15378761910469 6.14023094424949 5.96496143670052 5.92926351210324 6.01113642130127 6.06565266149221 6.11686577194284 6.07938189557334 6.21943180863402 6.00335812738952 5.89696539576794 5.93038596397686 6.02921109086196 6.11614193488018 5.82505423922116 6.10403667648015 5.99672179906392 6.02164934836679 5.86314478017037 5.99449568856847 6.08470220194765 5.96874542032644 6.16775787422513 5.91545506184293 6.1563441087596 6.23279548758258 5.9482463381094 5.91436301648957 6.18427249166528 6.06625182144073 6.07845103542373 5.97785769236084 5.99724580281409 5.9186868728089 5.79506393285908 6.11623727848542 5.98567897090805 6.11059904138495 5.91588307869283 5.98465498274445 6.226520821631 5.94328415458263 6.17646714741847 6.11555407518292 6.13046751680073 5.86517631783808 5.82898859581248 6.03475391349123 5.98039500153444
"2" 6.41284167959039 5.87104221331286 7.63801673590878 6.03356852750042 6.16754342631126 7.15749878205577 6.10282163074067 6.08139913571439 5.94982421296658 6.32219183690418 7.37998990377729 6.61179209898747 6.19293795562947 6.08993086370541 8.75507714366663 6.64507314895195 6.30005196147469 6.18652470253656 6.263496067336 6.89876608933132 6.73526731913041 6.91713169133583 7.10039836129739 6.05871259104645 8.01670216463457 6.43401388428644 6.06609822975863 6.15205472050025 6.94616919026994 6.55196764946559 6.36030864941682 6.79316748898697 6.7184118583955 6.1557712482351 5.99578660877373 7.11447473832471 6.37204022583926 7.32749447352737 7.29423883434094 6.46506596718854 6.90307508420367 6.32102237738908 7.44368297701298 6.86785952722309 6.11208195114713 6.32715723089288 7.85311963334861 5.97306004438782 6.46489550378094 6.74859747886512 6.23952162177337 7.26347549368396 6.20554255695635 6.35380736318889 5.95953155365566 7.01856336080878 7.03960627839323 6.35441377799044 6.33636924925255 6.82910181654258
"3" 5.85010775992176 5.92705646940912 5.92572589164821 5.82504869126443 6.02363040023915 6.13671148346223 6.04362376984873 6.12178235153917 5.9336815686403 5.89745911180271 6.14465095759154 6.10518728959691 5.85284290506439 6.08151620986259 5.86970998724079 5.97642539958391 6.07055571151257 5.91391917830458 5.66575652824686 6.04914754592132 5.84820354844915 5.82051006797867 5.96934405069296 5.87092923820786 5.92453159946019 5.95602701570676 5.76173395201207 5.80631700625625 6.01098336389065 5.85885712733917 6.01326151468637 6.16977140578954 5.96443139025387 5.86512849988749 6.01632441002079 6.08426967458048 5.8878710404737 6.04342660203827 5.81091805234748 5.96813345999654 5.88696041815122 5.92132807463579 6.02938131950739 5.97962973087644 5.91665838238117 5.99151031352303 5.96460587826821 5.973602051702 5.69924587479309 6.11363922939269 5.97465160810598 5.97671879626542 5.81266828815498 5.87788977736845 5.90758398296702 5.79055497160261 6.09805073996905 6.06073541142558 6.01864145382329 6.05259569543157
"4" 5.95799632515998 6.10728883041315 5.82687142026078 5.89509809706078 5.91122749449055 5.91218573207611 5.76260008750226 5.91832054742593 6.0688774061603 5.95554641031518 5.94722804746737 5.89346130612165 6.05733463300456 6.03535307646921 5.97700563743025 5.82018680489837 5.84560009185925 6.04092161579981 5.91162194007085 5.76556866738576 5.81145366798234 5.76763421926096 6.05716936210944 5.81031285393285 6.17146938256414 5.86128217020177 5.7941638157473 6.11184385272877 6.11738290489698 5.9605515731537 5.9040436464709 6.07254627667674 6.14210283776245 5.86583745001462 5.93835474562541 6.05262926671185 5.97520390155305 5.89461709947232 5.84056111776142 5.98082140826581 6.06238282272134 5.9604347343604 5.89510958210422 5.88296760955506 5.63736451133595 5.95466616138527 5.81480240816978 6.09432574643082 5.85884617657051 5.92818023894372 5.7781736964272 6.00509200123408 5.86746112217038 5.8838136813245 5.78113164793825 5.94582728280241 5.88721965491773 6.06656564471075 6.1001957374932 5.84167892496717
"5" 9.35361006251929 9.52709559193681 9.64947893503374 9.21428623701342 9.79750641564073 9.46267610162696 10.0344300745478 9.69411053195839 8.81942566244487 9.79025020250594 9.05070323368663 9.67223304563303 9.71665283487717 9.63842899880045 9.86290740482698 9.92856383076191 9.39663668691986 9.54434482256268 10.0954759128364 9.69705625891634 9.10358435725465 9.71357373605155 9.25418364606315 9.40675707027933 9.97486179177157 9.80039208578429 9.48918241246187 9.36089852662092 9.74679093542688 9.70245314697879 9.63957642668646 9.56130788141182 9.70617692615408 9.4633366110521 9.63216157098304 9.89690205700951 9.37717891425093 9.64155613171656 9.25689428132052 9.52525815612632 9.07036534942624 9.89549756725649 9.15107981399515 9.47987827094796 8.91283630061404 9.37765818294175 10.06586488769 9.95823408506349 9.99350586153588 9.01664217799214 9.82387189978049 9.81821448186125 9.35926337884569 10.3964834215861 10.0270722602795 9.98868086785832 10.1590228719505 9.71893393545646 9.71208465801974 9.51967999263431
"6" 6.57412426591653 6.30207314605197 6.64047043756212 6.44419204229897 6.45851541929426 6.78442892592743 6.26033502803848 6.55655631065081 6.31771155839871 6.49054925721007 6.22468368436776 6.25204313243512 6.31228778883291 6.17124525224637 6.47025051099666 6.52482212876772 6.22140376078536 6.60929379045722 6.28611175373665 6.28861512757438 6.3627050803605 6.42042766892484 6.56299463937464 6.27379249654119 6.38416744173345 6.23833029004202 6.50830074596294 6.39739455529793 6.48650768633072 6.3629602560137 6.49064701051627 6.45044215906438 6.55240990572345 6.58832299824486 6.18881468994475 6.43352036395885 6.47180117874945 6.37769134768763 6.64814292610849 6.3788053752036 6.49525913800998 6.5237135300887 6.50259988225223 6.50954795119775 6.60894616822525 6.56787542370598 6.29081580044731 6.17541171728613 6.50293368713882 6.30272825672829 6.39142542017522 6.45627964549004 6.25103216184854 6.2293337717157 6.33933569313401 6.17500339931123 6.2066421188704 6.22109886620161 6.19457798636899 6.21562468671659
"7" 6.17409626238269 6.08632134761719 6.17452320350879 5.88379069638771 6.05766301068421 6.17859315133511 5.99315772306813 6.12715757344526 6.35663335344799 6.10256276531546 6.21667445719477 5.96334996376912 6.11467592147136 5.99292515520373 6.15867493717238 6.0107331345549 6.12809111903562 6.16350889567707 6.27770010703785 6.001275726647 6.11301371089768 5.99736943360737 6.19714335265602 6.02205616645963 5.85192378364684 6.26147218933705 5.99826332770327 5.98395943669046 5.97942198717295 6.15576389224538 6.01523346984515 6.26412816474712 5.95939994249658 6.06516438173289 6.29286932123658 6.09598906591205 6.24146245053411 6.03841995636742 6.27988267032154 6.11291721148587 6.16133842504799 6.14412551119545 6.14549056434762 6.26492112694056 6.09807254094369 6.15394158543877 6.0114708667333 5.92162898300999 6.12646890758056 6.23878061901432 5.90834551370429 6.27447376112646 5.87903165099197 5.91865370447223 6.01061403449421 6.11152593467768 6.33356552671384 6.1828900739084 6.37605511143769 6.00143823130817
"8" 6.1272370451086 6.2000021974348 6.01930317719781 5.98563949595522 5.99578487696923 6.2177406987227 5.89801325046364 6.09430542310341 6.03041140874967 6.10187812057903 5.8507770582879 6.0977282387371 5.92371982924784 6.18556570386169 6.1227640948233 6.2998656131482 5.90675178926256 6.11612227294381 6.25634265018098 5.90625149360789 6.09562469904135 5.96884129961965 5.8391025006067 5.87109595516847 6.20303232380517 6.07361026456858 6.09174927371201 6.04370301027448 6.05548256570146 6.24120428281284 5.92412365001637 6.03729762078358 6.01389230537316 6.16529996340759 5.63036022832322 6.07914495234741 6.00174957224243 6.12563690687345 6.10612988084391 6.14098041157101 6.14000425503342 5.9433286271531 6.04530201490941 6.08868273690039 5.78037582292331 6.07811164637175 6.12853160579262 6.11874396261178 5.89763626445773 6.1803500047988 5.66694138815118 6.23627742770821 5.9509284558551 6.14006953352837 5.87109868294871 6.1852698881259 5.88281041653279 6.07895277511789 5.88406105571608 5.85024980313794
"9" 6.56985911123275 6.6939002006593 6.28135195119813 6.47707213329718 6.91564342747713 7.02284079009609 6.59778099459018 6.29686315117249 6.31551861354755 6.43489206300064 6.44007749042418 6.85443557225321 6.28391306726206 6.90093332856089 6.13859361389041 6.45610735018986 6.76031992473631 6.43273298445098 6.30335119254236 6.39367597435694 6.4313825765741 6.50406824855277 6.51094458429029 6.50109829712256 6.47762757094732 6.68178830904759 6.31558226155804 6.8563781008439 6.76812276558846 6.47310442410628 6.56719963845249 6.86923588775455 6.93450406438634 6.38199269568998 6.65570540924679 6.60922797523821 6.46979059010802 6.44297485214587 6.85090155604229 7.04007413161275 6.26230624154632 6.55304182981167 6.41685514651331 6.54372375639501 6.33859693316087 6.47514594463836 6.71408988291362 6.88247013323463 7.07665401126251 6.36521411737993 6.8085964297498 6.72276696822971 6.77484416943012 6.90955739851099 6.43029052911621 6.75503711627838 6.66170029893775 6.46585440640109 6.4296626925681 6.76117509060508
"10" 6.18143999375365 5.93596715379621 5.87998170898218 6.24727867959541 5.79831665213069 6.07965701466473 5.91761862362763 5.89416632917271 5.83561785174241 5.78853802137318 5.88385585878165 5.87493977365456 5.86623134873572 6.03555440367462 6.12193047133902 5.9729956720807 6.00737246963861 5.75368597609378 5.66776636014934 6.00631043653715 5.73830879187747 5.91229368608798 5.92886960695943 5.72498369770892 6.07902369715516 5.76049733477835 5.9996542357545 5.65436540367423 5.90247507617599 5.95859463995885 5.9805907359015 5.97014953136028 5.81591143344397 5.96583016554609 5.85639571638478 5.93072325257688 6.06757929850636 6.03759461388139 5.97423316102247 5.99498859149391 5.76225023129389 5.89594556228144 6.1522587097184 5.81130778124106 5.91190356926617 6.09408416259603 5.97914900778702 5.84513948823439 5.63084643520769 6.1698230492066 6.00489228112704 5.97850893651282 6.02947711376077 5.965539250764 5.97074935342731 5.78382397999069 6.27461531530383 6.05233150762251 5.8136595374316 5.77460814876915
